Date,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Mean Humidity (%)
2013-04-01,2013,4,1,19.6,28.2,85.2
2013-04-02,2013,4,2,4.2,28.6,85.5
2013-04-03,2013,4,3,5.8,28.2,84.6
2013-04-04,2013,4,4,41.6,27.4,89.7
2013-04-05,2013,4,5,0.0,29.3,79.5
2013-04-06,2013,4,6,6.4,28.0,84.9
2013-04-07,2013,4,7,0.0,28.6,77.8
2013-04-08,2013,4,8,0.0,28.7,81.4
2013-04-09,2013,4,9,0.0,28.3,81.9
2013-04-10,2013,4,10,0.4,28.4,80.8
2013-04-11,2013,4,11,0.0,27.4,83.2
2013-04-12,2013,4,12,0.0,28.8,81.5
2013-04-13,2013,4,13,16.2,29.0,82.5
2013-04-14,2013,4,14,0.6,25.8,90.8
2013-04-15,2013,4,15,0.0,28.9,81.7
2013-04-16,2013,4,16,22.4,28.9,84.2
2013-04-17,2013,4,17,1.0,28.4,80.2
2013-04-18,2013,4,18,1.8,30.1,73.8
2013-04-19,2013,4,19,1.0,27.2,88.3
2013-04-20,2013,4,20,0.2,29.3,78.2
2013-04-21,2013,4,21,3.8,26.8,87.9
2013-04-22,2013,4,22,0.0,28.3,79.8
2013-04-23,2013,4,23,8.4,28.0,85.7
2013-04-24,2013,4,24,0.0,28.5,82.4
2013-04-25,2013,4,25,4.6,28.8,82.8
2013-04-26,2013,4,26,0.6,26.9,87.4
2013-04-27,2013,4,27,4.2,27.9,86.3
2013-04-28,2013,4,28,16.6,26.2,92.9
2013-04-29,2013,4,29,0.0,28.2,82.8
2013-04-30,2013,4,30,0.0,29.2,77.6
2013-05-01,2013,5,1,0.2,28.3,83.6
2013-05-02,2013,5,2,0.0,28.5,84.2
2013-05-03,2013,5,3,0.2,28.4,83.3
2013-05-04,2013,5,4,0.0,28.9,80.0
2013-05-05,2013,5,5,8.6,27.7,87.7
2013-05-06,2013,5,6,0.2,27.8,87.5
2013-05-07,2013,5,7,46.2,27.3,88.3
2013-05-08,2013,5,8,5.8,27.0,90.0
2013-05-09,2013,5,9,40.4,27.8,85.2
2013-05-10,2013,5,10,1.0,28.1,85.9
2013-05-11,2013,5,11,0.2,28.0,86.2
2013-05-12,2013,5,12,0.0,29.7,78.3
2013-05-13,2013,5,13,0.0,29.9,79.8
2013-05-14,2013,5,14,3.4,28.8,84.6
